mileage,avg_fuel_consumption,price,age,mileage/age,transmission_type_Düz,transmission_type_Otomatik,transmission_type_Yarı Otomatik,changed,painted
255000,1,530000,9,28333,True,False,False,1,0
104000,0,685000,7,14857,False,False,True,2,0
145000,1,655000,8,18125,True,False,False,1,0
80000,4,610000,4,20000,True,False,False,2,1
202000,4,500000,10,20200,True,False,False,1,8
156000,1,675000,7,22285,True,False,False,0,0
122500,1,680000,9,13611,True,False,False,0,1
220000,1,560000,9,24444,True,False,False,0,5
72000,1,665500,9,8000,True,False,False,1,1
179000,1,580000,12,14916,True,False,False,0,0
147000,0,665000,8,18375,False,False,True,0,0
93000,1,590000,9,10333,True,False,False,1,2
104250,1,695000,7,14892,True,False,False,0,0
133500,1,625000,7,19071,True,False,False,1,2
98000,0,725000,7,14000,False,False,True,0,0
91000,0,736000,7,13000,False,False,True,0,2
139000,0,700000,7,19857,False,False,True,1,1
89000,0,740000,8,11125,False,False,True,0,0
69970,1,765000,7,9995,True,False,False,0,0
205000,1,630000,8,25625,True,False,False,0,1
157000,1,630000,10,15700,True,False,False,0,1
133000,1,658000,7,19000,True,False,False,1,0
123000,1,610000,9,13666,True,False,False,0,0
161000,1,625000,9,17888,True,False,False,0,0
109000,1,610000,11,9909,True,False,False,1,2
94000,1,625000,11,8545,True,False,False,0,0
270000,1,565000,7,38571,True,False,False,1,1
395000,3,450000,9,43888,True,False,False,0,4
102000,1,715000,7,14571,True,False,False,0,0
91000,1,630000,8,11375,True,False,False,1,0
161000,1,500000,9,17888,True,False,False,6,2
198000,4,595000,11,18000,True,False,False,1,0
151000,4,645000,8,18875,True,False,False,1,1
108000,4,700000,8,13500,True,False,False,0,0
58000,1,675000,8,7250,True,False,False,1,1
83000,1,665000,9,9222,True,False,False,0,1
78471,3,649900,9,8719,True,False,False,1,3
113900,4,635000,8,14237,True,False,False,1,1
105000,4,645000,8,13125,True,False,False,0,0
138000,1,625000,8,17250,True,False,False,1,2
152000,4,610000,10,15200,True,False,False,0,1
78000,4,665000,9,8666,True,False,False,1,1
90000,4,580000,8,11250,True,False,False,3,2
190000,4,645000,6,31666,True,False,False,1,0
190000,4,645000,6,31666,True,False,False,1,0
62000,1,535000,12,5166,True,False,False,0,2
152000,3,560000,12,12666,True,False,False,0,0
98000,1,620000,11,8909,True,False,False,0,0
76000,4,663000,9,8444,True,False,False,0,0
183000,4,570000,11,16636,True,False,False,1,1
123500,2,635000,9,13722,True,False,False,0,2
192000,4,495000,9,21333,True,False,False,0,5
201250,4,500000,10,20125,True,False,False,2,9
155000,4,625000,8,19375,True,False,False,0,0
107000,1,640000,8,13375,True,False,False,1,0
252000,2,429000,12,21000,True,False,False,0,6
73000,1,610000,7,10428,True,False,False,1,1
27000,0,765000,8,3375,False,False,True,1,0
