listing_date,year,mileage,transmission_type,color,avg_fuel_consumption,paint_changed,seller_type,price,heavy_damage
17 Mayıs 2025,2016,237.000 km,Otomatik,Siyah,,Tamamı orjinal,Galeriden,620.000 TL,No
17 Mayıs 2025,2013,181.000 km,Düz,Kırmızı,,"2 değişen, 7 boyalı",Galeriden,420.000 TL,No
17 Mayıs 2025,2017,77.000 km,Otomatik,Kırmızı,,"1 değişen, 3 boyalı",Galeriden,848.800 TL,No
17 Mayıs 2025,2016,215.000 km,Düz,Füme,4 lt,2 boyalı,Galeriden,615.000 TL,No
17 Mayıs 2025,2016,220.000 km,Düz,Mavi,4 lt,2 değişen,Galeriden,579.900 TL,No
17 Mayıs 2025,2016,188.000 km,Düz,Mavi,4 lt,1 boyalı,Galeriden,659.000 TL,No
17 Mayıs 2025,2013,177.000 km,Düz,Siyah,,"1 değişen, 1 boyalı",Galeriden,467.500 TL,No
17 Mayıs 2025,2016,900.000 km,Düz,Sarı,4 lt,1 değişen,Sahibinden,380.000 TL,No
17 Mayıs 2025,2018,183.000 km,Otomatik,Bordo,,"1 değişen, 4 boyalı",Galeriden,615.000 TL,Evet
16 Mayıs 2025,2012,166.000 km,Düz,Mavi (metalik),4 lt,"3 değişen, 7 boyalı",Galeriden,567.500 TL,No
16 Mayıs 2025,2013,220.000 km,Düz,Siyah,4 lt,2 boyalı,Sahibinden,465.000 TL,No
16 Mayıs 2025,2015,110.000 km,Düz,Kırmızı,4 lt,2 boyalı,Sahibinden,700.000 TL,No
16 Mayıs 2025,2013,168.000 km,Düz,Kırmızı,5 lt,Belirtilmemiş,Sahibinden,670.000 TL,No
16 Mayıs 2025,2016,218.000 km,Düz,Füme,4 lt,Belirtilmemiş,Sahibinden,585.000 TL,No
16 Mayıs 2025,2012,198.000 km,Düz,Kahverengi,5 lt,"1 değişen, 3 boyalı",Sahibinden,530.000 TL,No
16 Mayıs 2025,2017,58.000 km,Düz,Siyah,4 lt,Belirtilmemiş,Sahibinden,805.000 TL,No
16 Mayıs 2025,2016,127.000 km,Düz,Mavi,4 lt,Belirtilmemiş,Sahibinden,638.000 TL,No
16 Mayıs 2025,2016,127.000 km,Düz,Mavi,4 lt,Belirtilmemiş,Sahibinden,638.000 TL,No
16 Mayıs 2025,2013,162.000 km,Düz,Kırmızı,4 lt,8 boyalı,Sahibinden,440.000 TL,Evet
16 Mayıs 2025,2015,154.000 km,Düz,Kırmızı,4 lt,"2 değişen, 1 boyalı",Sahibinden,635.000 TL,No
16 Mayıs 2025,2015,99.000 km,Düz,Bordo,4 lt,1 değişen,Sahibinden,639.000 TL,No
16 Mayıs 2025,2011,184.000 km,Düz,Füme,"4,5 lt",1 boyalı,Sahibinden,540.000 TL,No
16 Mayıs 2025,2010,195.700 km,Düz,Siyah,"4,5 lt",Belirtilmemiş,Sahibinden,465.000 TL,No
16 Mayıs 2025,2013,212.000 km,Düz,Mavi (metalik),5 lt,"2 değişen, 4 boyalı",Sahibinden,525.000 TL,No
16 Mayıs 2025,2017,89.000 km,Düz,Bordo,4 lt,Tamamı orjinal,Galeriden,825.000 TL,No
16 Mayıs 2025,2013,187.000 km,Düz,Mavi,4 lt,Tamamı orjinal,Galeriden,650.000 TL,No
15 Mayıs 2025,2017,210.000 km,Yarı Otomatik,Füme,"3,8 lt","2 değişen, 4 boyalı",Sahibinden,660.000 TL,Evet
15 Mayıs 2025,2015,125.456 km,Düz,Kırmızı,4 lt,Belirtilmemiş,Galeriden,690.000 TL,No
15 Mayıs 2025,2018,90.000 km,Yarı Otomatik,Lacivert,"3,8 lt",Tamamı orjinal,Sahibinden,840.000 TL,No
15 Mayıs 2025,2017,110.000 km,Düz,Kırmızı,4 lt,Belirtilmemiş,Sahibinden,785.000 TL,No
15 Mayıs 2025,2017,79.000 km,Otomatik,Füme,,Tamamı orjinal,Galeriden,855.000 TL,No
15 Mayıs 2025,2016,120.000 km,Düz,Gri,4 lt,1 değişen,Galeriden,700.000 TL,No
15 Mayıs 2025,2013,198.000 km,Düz,Siyah,,Tamamı orjinal,Galeriden,535.000 TL,No
15 Mayıs 2025,2016,165.000 km,Düz,Gri,4 lt,Tamamı orjinal,Sahibinden,745.000 TL,No
15 Mayıs 2025,2016,92.000 km,Düz,Gri (Gümüş),4 lt,Tamamı orjinal,Sahibinden,770.000 TL,No
15 Mayıs 2025,2017,79.000 km,Düz,Gri (Gümüş),4 lt,Tamamı orjinal,Sahibinden,833.500 TL,No
15 Mayıs 2025,2017,93.000 km,Düz,Mavi (metalik),4 lt,Tamamı orjinal,Sahibinden,875.000 TL,No
15 Mayıs 2025,2016,265.000 km,Yarı Otomatik,Beyaz,"3,8 lt",Tamamı orjinal,Sahibinden,605.000 TL,No
15 Mayıs 2025,2015,123.500 km,Düz,Siyah,4 lt,Tamamı orjinal,Sahibinden,760.000 TL,No
15 Mayıs 2025,2013,96.000 km,Düz,Kırmızı,4 lt,2 değişen,Sahibinden,620.000 TL,No
15 Mayıs 2025,2012,158.500 km,Düz,Füme,5 lt,1 boyalı,Sahibinden,570.000 TL,No
15 Mayıs 2025,2016,119.000 km,Düz,Gri,4 lt,"1 değişen, 1 boyalı",Galeriden,678.500 TL,No
15 Mayıs 2025,2014,140.000 km,Düz,Bordo,4 lt,Tamamı orjinal,Galeriden,665.000 TL,No
15 Mayıs 2025,2017,80.000 km,Düz,Gri,4 lt,Belirtilmemiş,Galeriden,755.000 TL,No
15 Mayıs 2025,2018,152.000 km,Düz,Lacivert,4 lt,Tamamı orjinal,Galeriden,785.000 TL,No
15 Mayıs 2025,2017,199.000 km,Düz,Kahverengi,4 lt,Tamamı orjinal,Galeriden,665.000 TL,No
15 Mayıs 2025,2016,98.500 km,Düz,Mavi,4 lt,Tamamı orjinal,Galeriden,758.000 TL,No
15 Mayıs 2025,2013,295.500 km,Düz,Kırmızı,,3 boyalı,Galeriden,505.000 TL,No
15 Mayıs 2025,2013,405.000 km,Düz,Bordo,4 lt,1 boyalı,Sahibinden,329.000 TL,No
14 Mayıs 2025,2015,204.000 km,Düz,Kırmızı,4 lt,2 boyalı,Galeriden,559.000 TL,No
14 Mayıs 2025,2016,96.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,760.000 TL,No
14 Mayıs 2025,2013,238.000 km,Düz,Mavi,,"1 değişen, 5 boyalı",Galeriden,539.500 TL,No
14 Mayıs 2025,2016,186.785 km,Düz,Mavi,4 lt,"2 değişen, 6 boyalı",Galeriden,615.000 TL,No
14 Mayıs 2025,2017,79.842 km,Düz,Mavi,4 lt,Tamamı orjinal,Galeriden,880.000 TL,No
14 Mayıs 2025,2015,176.000 km,Düz,Gri,4 lt,Tamamı orjinal,Galeriden,695.000 TL,No
14 Mayıs 2025,2016,96.000 km,Düz,Gri,4 lt,Tamamı orjinal,Galeriden,785.000 TL,No
14 Mayıs 2025,2018,185.000 km,Düz,Gri,4 lt,"2 değişen, 1 boyalı",Galeriden,675.000 TL,No
