yas,kilometre,ort_yakit_tuketimi,fiyat,kilometre/yas,vites_tipi_duz,vites_tipi_otomatik,vites_tipi_yari_otomatik,degisen,boyali
8,290000,4.0,579000,36250,True,False,False,0,2
9,96200,4.0,670000,10688,True,False,False,0,3
7,152000,3.8,664000,21714,False,False,True,0,2
12,217000,4.5,540000,18083,True,False,False,0,0
6,228000,3.8,675000,38000,False,False,True,0,3
7,95000,4.0,745000,13571,True,False,False,0,0
7,150000,3.8,735000,21428,False,False,True,0,3
8,156000,4.0,598750,19500,True,False,False,0,1
7,75000,3.9,750000,10714,False,True,False,0,2
9,140000,4.0,600000,15555,True,False,False,1,2
7,92000,4.0,665000,13142,True,False,False,0,0
7,87000,4.0,755000,12428,True,False,False,0,1
9,255000,4.0,530000,28333,True,False,False,1,0
7,104000,3.8,685000,14857,False,False,True,2,0
8,145000,4.0,655000,18125,True,False,False,0,1
4,80000,4.2,610000,20000,True,False,False,1,2
10,202000,4.1,500000,20200,True,False,False,1,8
7,156000,4.0,675000,22285,True,False,False,0,0
9,122500,4.0,680000,13611,True,False,False,0,0
9,220000,4.0,560000,24444,True,False,False,0,5
9,72000,4.0,665500,8000,True,False,False,0,1
12,179000,4.0,580000,14916,True,False,False,0,0
8,147000,3.8,665000,18375,False,False,True,0,0
9,93000,4.0,590000,10333,True,False,False,1,2
7,104250,4.0,695000,14892,True,False,False,0,0
7,133500,4.0,625000,19071,True,False,False,1,2
7,98000,3.8,725000,14000,False,False,True,0,0
7,91000,3.8,736000,13000,False,False,True,0,2
7,139000,3.8,700000,19857,False,False,True,0,1
8,89000,3.8,740000,11125,False,False,True,0,0
7,69970,4.0,765000,9995,True,False,False,0,0
8,205000,4.0,630000,25625,True,False,False,0,1
10,157000,4.0,630000,15700,True,False,False,0,1
7,133000,4.0,658000,19000,True,False,False,1,0
9,123000,4.0,610000,13666,True,False,False,0,0
9,161000,4.0,625000,17888,True,False,False,0,0
11,109000,4.0,610000,9909,True,False,False,1,2
11,94000,4.0,625000,8545,True,False,False,0,0
7,270000,4.0,565000,38571,True,False,False,1,3
9,395000,5.0,450000,43888,True,False,False,0,4
7,102000,4.0,715000,14571,True,False,False,0,0
8,91000,4.0,630000,11375,True,False,False,1,2
9,161000,4.0,500000,17888,True,False,False,6,2
11,198000,4.8,595000,18000,True,False,False,1,0
8,151000,4.0,645000,18875,True,False,False,0,1
8,108000,4.0,700000,13500,True,False,False,0,0
8,58000,4.0,675000,7250,True,False,False,1,1
9,83000,4.0,665000,9222,True,False,False,0,1
9,78471,5.0,649900,8719,True,False,False,1,3
8,113900,4.1,635000,14237,True,False,False,1,1
8,105000,4.0,645000,13125,True,False,False,0,0
8,138000,4.0,625000,17250,True,False,False,1,2
10,152000,4.0,610000,15200,True,False,False,0,1
9,78000,4.4,665000,8666,True,False,False,0,1
8,90000,4.0,580000,11250,True,False,False,3,2
6,190000,4.0,645000,31666,True,False,False,1,1
6,190000,4.0,645000,31666,True,False,False,1,1
12,62000,4.0,535000,5166,True,False,False,0,2
12,152000,5.0,560000,12666,True,False,False,0,0
11,98000,4.0,620000,8909,True,False,False,0,0
9,76000,4.2,663000,8444,True,False,False,0,0
11,183000,4.6,570000,16636,True,False,False,1,1
9,123500,4.5,635000,13722,True,False,False,0,2
9,192000,4.0,495000,21333,True,False,False,0,5
10,201250,4.2,500000,20125,True,False,False,2,9
8,155000,4.0,625000,19375,True,False,False,0,0
8,107000,4.0,640000,13375,True,False,False,1,1
12,252000,4.5,429000,21000,True,False,False,0,6
7,73000,4.0,610000,10428,True,False,False,1,1
8,27000,3.8,765000,3375,False,False,True,1,0
11,199000,4.8,484750,18090,True,False,False,3,3
9,156000,4.0,590000,17333,True,False,False,1,0
7,100000,4.0,735000,14285,True,False,False,0,2
8,53508,3.8,685000,6688,False,False,True,1,1
8,113000,4.0,605000,14125,True,False,False,0,0
11,140000,4.4,627500,12727,True,False,False,0,0
8,168000,3.8,635000,21000,False,False,True,0,2
