İlan Tarihi,Kilometre/Yaş,Vites Tipi,Renk,Ort. Yakıt Tüketimi,Kimden,Ağır Hasarlı,Değişen,Boyalı,Fiyat
2,10714,1,9,,0,1,0,2,21949
2,15555,0,4,4.0,1,1,1,2,17559
2,13142,0,6,4.0,1,1,0,0,19461
2,12428,0,8,4.0,1,1,0,1,22095
2,28333,0,5,4.0,1,1,1,0,15510
2,14857,2,0,3.8,1,1,2,0,20046
2,18125,0,9,4.0,1,1,,,19168
2,20000,0,0,,1,1,,,17851
2,20200,0,4,,1,1,1,8,14632
2,22285,0,7,4.0,1,1,0,0,19754
2,13611,0,10,4.0,1,1,,,19900
2,24444,0,4,4.0,1,1,0,5,16388
2,8000,0,5,4.0,1,1,,,19476
2,14916,0,7,4.0,1,1,0,0,16973
2,18375,2,9,3.8,1,1,0,0,19461
2,10333,0,7,4.0,1,1,,,17266
2,14892,0,0,4.0,1,1,0,0,20339
2,19071,0,10,4.0,1,1,,,18290
2,14000,2,10,3.8,1,1,0,0,21217
2,13000,2,7,3.8,1,1,0,2,21539
2,19857,2,5,3.8,1,1,,,20485
2,11125,2,7,3.8,0,1,0,0,21656
2,9995,0,7,4.0,1,1,0,0,22388
2,25625,0,11,4.0,1,1,0,1,18437
2,15700,0,11,4.0,1,1,0,1,18437
2,19000,0,8,4.0,1,1,1,0,19256
2,13666,0,7,4.0,0,1,0,0,17851
2,17888,0,4,4.0,1,1,0,0,18290
2,9909,0,1,4.0,0,1,1,2,17851
2,8545,0,1,4.0,1,1,0,0,18290
2,38571,0,1,4.0,1,1,,,16534
2,43888,0,9,5.0,1,1,0,4,13169
2,14571,0,4,4.0,1,1,,,20924
2,11375,0,10,4.0,0,1,,,18437
2,17888,0,11,4.0,1,1,6,2,14632
2,18000,0,7,,0,1,1,0,17412
2,18875,0,7,,1,1,,,18876
2,13500,0,2,,1,1,,,20485
2,7250,0,7,4.0,1,1,1,1,19754
2,9222,0,3,4.0,0,1,,,19461
2,8719,0,11,5.0,0,1,1,3,19019
2,14237,0,11,,1,1,1,1,18583
2,13125,0,9,,1,1,0,0,18876
2,17250,0,7,4.0,1,1,,,18290
2,15200,0,1,,1,1,0,1,17851
2,8666,0,9,,0,1,,,19461
2,11250,0,11,,1,1,3,2,16973
2,31666,0,0,,1,1,,,18876
2,31666,0,0,,1,1,,,18876
2,5166,0,7,4.0,1,1,0,2,15657
2,12666,0,7,5.0,0,1,0,0,16388
2,8909,0,11,4.0,1,1,0,0,18144
2,8444,0,7,,1,1,0,0,19402
2,16636,0,9,,1,1,1,1,16681
2,13722,0,9,4.5,1,1,0,2,18583
2,21333,0,10,,0,1,0,5,14486
2,20125,0,9,,0,0,2,9,14632
2,19375,0,11,,1,1,0,0,18290
2,13375,0,10,4.0,1,1,,,18729
2,21000,0,2,4.5,1,1,0,6,12554
2,10428,0,7,4.0,1,1,1,1,17851
2,3375,2,0,3.8,1,1,1,0,22388
2,18090,0,7,,0,1,3,3,14186
2,17333,0,10,4.0,0,1,,,17266
2,14285,0,7,4.0,1,1,0,2,21510
